,LINE,EAST,NRTH,res_TMI,fit_TMI
0,2,4.0,-89.58,-15.5,-11.079910695270803
1,2,4.0,-89.18,-15.98,-11.450668815959032
2,2,4.0,-88.78,-16.45,-11.835793222251931
3,2,4.0,-88.38,-16.88,-12.23585331461888
4,2,4.0,-87.98,-17.36,-12.65143620370737
5,2,4.0,-87.58,-18.04,-13.083146435317186
6,2,4.0,-87.18,-18.66,-13.531605570561354
7,2,4.0,-86.78,-19.01,-13.997451600517996
8,2,4.0,-86.38,-19.24,-14.48133817233688
9,2,4.0,-85.98,-19.35,-14.983933601571152
10,2,4.0,-85.58,-19.63,-15.50591964296449
11,2,4.0,-85.18,-20.23,-16.047989989250183
12,2,4.0,-84.78,-20.86,-16.610848464941114
13,2,4.0,-84.38,-21.38,-17.195206878997144
14,2,4.0,-83.98,-21.99,-17.801782497411338
15,2,4.0,-83.58,-22.84,-18.431295093805105
16,2,4.0,-83.18,-23.95,-19.084463532805792
17,2,4.0,-82.78,-25.39,-19.76200183828584
18,2,4.0,-82.38,-26.68,-20.464614695314374
19,2,4.0,-81.98,-27.3,-21.192992332034187
20,2,4.0,-81.58,-27.47,-21.94780472520266
21,2,4.0,-81.18,-27.26,-22.729695070792534
22,2,4.0,-80.78,-27.27,-23.53927245965655
23,2,4.0,-80.38,-27.87,-24.377103697019223
24,2,4.0,-79.98,-28.93,-25.243704204642626
25,2,4.0,-79.58,-30.34,-26.139527945182216
26,2,4.0,-79.18,-31.59,-27.064956310671484
27,2,4.0,-78.78,-32.51,-28.020285920524685
28,2,4.0,-78.38,-33.68,-29.005715280360533
29,2,4.0,-77.98,-35.34,-30.021330260318983
30,2,4.0,-77.58,-36.78,-31.06708836230777
31,2,4.0,-77.18,-37.78,-32.14280175833169
32,2,4.0,-76.78,-38.71,-33.24811909900542
33,2,4.0,-76.38,-39.56,-34.382506111450766
34,2,4.0,-75.98,-40.53,-35.54522503026778
35,2,4.0,-75.58,-41.88,-36.73531293431464
36,2,4.0,-75.18,-43.05,-37.95155909595854
37,2,4.0,-74.78,-43.63,-39.19248148889097
38,2,4.0,-74.38,-44.56,-40.456302645041845
39,2,4.0,-73.98,-46.05,-41.74092510182902
40,2,4.0,-73.58,-47.57,-43.04390673662049
41,2,4.0,-73.18,-49.07,-44.36243634671905
42,2,4.0,-72.78,-50.55,-45.6933098990709
43,2,4.0,-72.38,-51.96,-47.032907943728794
44,2,4.0,-71.98,-53.4,-48.37717475792221
45,2,4.0,-71.58,-54.97,-49.72159986102213
46,2,4.0,-71.18,-56.46,-51.06120261356168
47,2,4.0,-70.78,-57.64,-52.390520682357874
48,2,4.0,-70.38,-58.58,-53.7036032162616
49,2,4.0,-69.98,-59.35,-54.99400962926978
50,2,4.0,-69.58,-60.16,-56.2548149258556
51,2,4.0,-69.18,-61.13,-57.47862252342291
52,2,4.0,-68.78,-62.31,-58.65758552402303
53,2,4.0,-68.38,-63.69,-59.783437358465505
54,2,4.0,-67.98,-65.07,-60.84753266571129
55,2,4.0,-67.58,-66.35,-61.84089917638724
56,2,4.0,-67.18,-67.44,-62.75430123837617
57,2,4.0,-66.78,-68.09,-63.578315452043746
58,2,4.0,-66.38,-68.35,-64.30341867353219
59,2,4.0,-65.98,-68.51,-64.92008839427287
60,2,4.0,-65.58,-68.79,-65.41891521668329
61,2,4.0,-65.18,-69.27,-65.79072681949695
62,2,4.0,-64.78,-69.45,-66.02672244511955
63,2,4.0,-64.38,-68.99,-66.11861654764847
64,2,4.0,-63.98,-68.39,-66.05878981750071
65,2,4.0,-63.58,-67.87,-65.84044535211203
66,2,4.0,-63.18,-67.28,-65.45776727745267
67,2,4.0,-62.78,-66.61,-64.90607865288159
68,2,4.0,-62.38,-65.86,-64.18199502472108
69,2,4.0,-61.98,-65.01,-63.283569552788286
70,2,4.0,-61.58,-64.08,-62.210425244672315
71,2,4.0,-61.18,-63.07,-60.96386952971652
72,2,4.0,-60.78,-61.77,-59.54698622883052
73,2,4.0,-60.38,-60.11,-57.96469997362139
74,2,4.0,-59.98,-58.19,-56.223808344871614
75,2,4.0,-59.58,-56.15,-54.332977477719645
76,2,4.0,-59.18,-54.17,-52.302697649717125
77,2,4.0,-58.78,-52.28,-50.145196438738594
78,2,4.0,-58.38,-50.34,-47.874308399255995
79,2,4.0,-57.98,-48.31,-45.50530181426821
80,2,4.0,-57.58,-45.75,-43.05466486627673
81,2,4.0,-57.18,-42.01,-40.53985543403296
82,2,4.0,-56.78,-38.66,-37.97902054417991
83,2,4.0,-56.38,-36.32,-35.39069315701943
84,2,4.0,-55.98,-33.99,-32.79347531551844
85,2,4.0,-55.58,-31.63,-30.205717621281902
86,2,4.0,-55.18,-29.2,-27.645205432682957
87,2,4.0,-54.78,-26.71,-25.128862058209872
88,2,4.0,-54.38,-24.16,-22.672478533865092
89,2,4.0,-53.98,-21.6,-20.290478365824814
90,2,4.0,-53.58,-19.32,-17.995723969296947
91,2,4.0,-53.18,-17.51,-15.799369558228163
92,2,4.0,-52.78,-15.89,-13.710763078503001
93,2,4.0,-52.38,-14.32,-11.737397580929159
94,2,4.0,-51.98,-12.94,-9.884910344627308
95,2,4.0,-51.58,-11.74,-8.157126214478746
96,2,4.0,-51.18,-10.54,-6.556140106381533
97,2,4.0,-50.78,-9.23,-5.0824325236949255
98,2,4.0,-50.38,-8.01,-3.73501124402937
99,2,4.0,-49.98,-7.14,-2.5115720677272053
100,2,4.0,-49.58,-6.48,-1.4086716302998668
101,2,4.0,-49.18,-5.88,-0.421905711503838
102,2,4.0,-48.78,-5.53,0.4539128491403359
103,2,4.0,-48.38,-5.52,1.224581672824246
104,2,4.0,-47.98,-5.5,1.8963458976280663
105,2,4.0,-47.58,-5.33,2.4757478993827258
106,2,4.0,-47.18,-5.08,2.969491864055281
107,2,4.0,-46.78,-4.69,3.3843245284612555
108,2,4.0,-46.38,-4.42,3.7269326391322273
109,2,4.0,-45.98,-4.38,4.0038570325508065
110,2,4.0,-45.58,-4.41,4.2214227217008045
111,2,4.0,-45.18,-4.51,4.3856839812487465
112,2,4.0,-44.78,-4.8,4.502383149354177
113,2,4.0,-44.38,-5.36,4.576921693971648
114,2,4.0,-43.98,-5.84,4.61434201082133
115,2,4.0,-43.58,-6.0,4.619318411963691
116,2,4.0,-43.18,-6.0,4.5961558118165025
117,2,4.0,-42.78,-5.88,4.54879470661785
118,2,4.0,-42.38,-5.84,4.4808211600556636
119,2,4.0,-41.98,-6.03,4.395480641021797
120,2,4.0,-41.58,-6.59,4.2956946998669245
121,2,4.0,-41.18,-7.68,4.1840796099765045
122,2,4.0,-40.78,-8.5,4.062966236780495
123,2,4.0,-40.38,-8.75,3.934420522642903
124,2,4.0,-39.98,-9.06,3.8002640912974006
125,2,4.0,-39.58,-9.48,3.6620945782536953
126,2,4.0,-39.18,-10.03,3.521305383551179
127,2,4.0,-38.78,-10.85,3.379104620499977
128,2,4.0,-38.38,-11.62,3.2365330996205075
